timestamp,sensor_id,x,y,z
2024-10-16 10:26:36.142 -0500,1,-0.09,9.67,-0.54
2024-10-16 10:26:41.186 -0500,1,-0.11,9.63,-0.55
2024-10-16 11:10:59.839 -0500,1,-3.27,11.67,-2.93
2024-10-16 11:11:04.880 -0500,1,-0.57,9.91,-1.23
2024-10-16 11:11:10.181 -0500,1,-4.31,11.59,-2.45
2024-10-16 11:11:15.224 -0500,1,-1.36,12.27,1.07
2024-10-16 11:11:20.264 -0500,1,3.58,6.6,-1.18
2024-10-16 11:11:25.298 -0500,1,0.0,8.84,-1.72
2024-10-16 11:11:30.333 -0500,1,-1.51,11.89,-3.2
2024-10-16 11:11:35.371 -0500,1,-1.4,11.6,2.81
2024-10-16 11:11:40.404 -0500,1,2.38,9.42,-1.52
2024-10-16 11:11:45.449 -0500,1,-1.23,10.35,0.25
2024-10-16 11:11:50.486 -0500,1,-3.9,12.36,0.79
2024-10-16 11:11:55.522 -0500,1,3.36,8.9,-1.76
2024-10-16 11:12:00.571 -0500,1,-0.09,7.52,0.8
2024-10-16 11:12:05.612 -0500,1,2.15,8.07,-1.19
2024-10-16 11:12:10.646 -0500,1,1.24,8.26,-1.43
2024-10-16 11:12:15.686 -0500,1,-1.13,12.45,0.25
2024-10-16 11:12:20.734 -0500,1,-2.49,12.5,-1.06
2024-10-16 11:12:25.769 -0500,1,-3.49,13.35,0.62
2024-10-16 11:12:30.803 -0500,1,2.23,5.82,-1.16
2024-10-16 11:12:35.842 -0500,1,-1.75,11.49,-3.41
2024-10-16 11:12:40.881 -0500,1,-3.15,7.8,2.04
2024-10-16 11:12:45.921 -0500,1,4.0,8.0,-3.09
2024-10-16 11:12:50.959 -0500,1,-3.2,11.13,-0.76
2024-10-16 11:12:55.993 -0500,1,-1.48,11.08,0.45
2024-10-16 11:13:01.027 -0500,1,-0.49,9.95,-1.08
2024-10-16 11:13:06.062 -0500,1,-1.3,12.41,2.76
2024-10-16 11:13:11.100 -0500,1,0.41,8.7,-2.37
2024-10-16 11:13:16.141 -0500,1,-2.76,12.15,-1.81
2024-10-16 11:13:21.184 -0500,1,3.03,7.04,-2.06
2024-10-16 11:13:26.237 -0500,1,5.94,5.7,-2.62
2024-10-16 11:13:31.274 -0500,1,1.11,8.57,-1.03
2024-10-16 11:13:36.317 -0500,1,3.09,6.03,-0.63
2024-10-16 11:13:41.366 -0500,1,-0.29,8.85,-2.98
2024-10-16 11:13:46.407 -0500,1,-1.63,11.77,-2.13
2024-10-16 11:13:51.444 -0500,1,1.5,8.13,-0.15
2024-10-16 11:13:56.491 -0500,1,-2.71,11.45,-2.58
2024-10-16 11:14:01.597 -0500,1,-0.77,9.9,0.64
2024-10-16 11:14:06.678 -0500,1,3.53,10.87,-3.82
2024-10-16 11:14:11.711 -0500,1,0.17,6.0,0.61
2024-10-16 11:14:16.758 -0500,1,-3.54,11.94,0.32
2024-10-16 11:14:21.802 -0500,1,0.15,11.05,-1.12
2024-10-16 11:14:26.841 -0500,1,2.44,9.9,-2.36
2024-10-16 11:14:31.876 -0500,1,0.15,8.18,-1.35
2024-10-16 11:14:36.913 -0500,1,-1.59,12.18,-0.91
2024-10-16 11:14:41.957 -0500,1,-3.25,11.6,3.33
2024-10-16 11:14:47.012 -0500,1,4.66,5.25,-4.24
2024-10-16 11:14:52.045 -0500,1,3.11,6.59,-1.25
2024-10-16 11:14:57.086 -0500,1,0.16,10.41,-0.4
2024-10-16 11:15:02.128 -0500,1,-2.34,11.58,1.57
2024-10-16 11:15:07.175 -0500,1,3.47,7.61,-1.72
2024-10-16 11:15:12.219 -0500,1,4.05,7.27,-1.91
2024-10-16 11:15:17.253 -0500,1,-1.65,10.89,0.37
2024-10-16 11:15:22.297 -0500,1,-0.17,11.26,1.87
2024-10-16 11:15:27.341 -0500,1,-0.17,9.5,-0.69
2024-10-16 11:15:32.381 -0500,1,2.42,9.4,-2.7
2024-10-16 11:15:37.422 -0500,1,-3.76,13.74,0.19
2024-10-16 11:15:42.461 -0500,1,4.93,8.35,-1.07
2024-10-16 11:15:47.494 -0500,1,1.2,7.37,-0.22
2024-10-16 11:15:52.531 -0500,1,-2.21,11.48,1.11
2024-10-16 11:15:57.573 -0500,1,2.42,9.67,-2.07
2024-10-16 11:16:02.607 -0500,1,-0.12,9.44,-0.5
2024-10-16 11:16:07.650 -0500,1,-2.82,12.38,-0.41
2024-10-16 11:16:12.687 -0500,1,-1.15,11.85,-2.45
2024-10-16 11:16:17.728 -0500,1,2.75,6.38,-1.56
2024-10-16 11:16:22.768 -0500,1,-1.41,11.12,-2.18
2024-10-16 11:16:27.817 -0500,1,3.59,6.27,-1.78
2024-10-16 11:16:32.854 -0500,1,-0.2,9.44,0.5
2024-10-16 11:16:37.887 -0500,1,-3.35,10.98,1.01
2024-10-16 11:16:42.927 -0500,1,-0.3,9.28,0.74
2024-10-16 11:16:47.970 -0500,1,0.21,8.77,1.43
2024-10-16 11:16:53.018 -0500,1,1.34,7.6,-1.24
2024-10-16 11:16:58.053 -0500,1,-0.22,9.63,-0.75
2024-10-16 11:17:03.092 -0500,1,-0.14,9.65,-0.74
2024-10-16 11:17:08.132 -0500,1,-0.14,9.63,-0.68
2024-10-16 11:17:13.169 -0500,1,-0.14,9.65,-0.71
2024-10-16 11:17:18.211 -0500,1,-0.13,9.65,-0.71
2024-10-16 11:17:23.250 -0500,1,-0.12,9.63,-0.73
2024-10-16 11:17:28.290 -0500,1,-0.14,9.67,-0.71
2024-10-16 11:17:33.327 -0500,1,-0.12,9.66,-0.72
2024-10-16 11:17:38.362 -0500,1,-0.13,9.65,-0.69
2024-10-16 11:17:43.401 -0500,1,-0.14,9.67,-0.71
2024-10-16 11:17:48.443 -0500,1,-0.15,9.65,-0.7
2024-10-16 11:17:53.483 -0500,1,-0.13,9.65,-0.71
2024-10-16 11:17:58.519 -0500,1,-0.12,9.65,-0.69
2024-10-16 11:18:03.568 -0500,1,-0.14,9.65,-0.72
2024-10-16 11:18:08.608 -0500,1,-0.11,9.65,-0.71
2024-10-16 11:18:13.651 -0500,1,-0.14,9.64,-0.74
2024-10-16 11:18:18.691 -0500,1,-0.13,9.63,-0.74
